time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-12-31T16:30:54.520Z,0.663,-26.045,10,5.5,mwc,132,36.7,,0.98,us,usp000hsc9,2016-11-10T02:38:40.940Z,"central Mid-Atlantic Ridge",earthquake,,,,,reviewed,us,gcmt
2010-12-31T04:11:03.180Z,-19.209,167.902,10,5.1,mwc,72,76.1,,1.21,us,usp000hsbp,2016-11-10T02:38:40.398Z,"Vanuatu region",earthquake,,,,,reviewed,us,gcmt
2010-12-30T23:47:03.930Z,-31.83,-178.135,35,5,mwc,90,105.9,,1.14,us,usp000hsb7,2016-11-10T02:38:39.842Z,"Kermadec Islands region",earthquake,,,,,reviewed,us,gcmt
2010-12-30T21:22:30.350Z,-19.984,168.353,20.2,5,mwc,55,81.3,,1.09,us,usp000hsb2,2016-11-10T02:38:39.258Z,"Vanuatu",earthquake,,20.5,,,reviewed,us,gcmt
2010-12-30T19:56:36.380Z,50.38,153.964,190.1,5,mwc,188,77.9,,0.83,us,usp000hsax,2016-11-10T02:38:38.116Z,"Kuril Islands",earthquake,,,,,reviewed,us,gcmt
2010-12-30T19:21:26.650Z,56.748,-156.149,54,5,mwc,223,78.6,,,us,usp000hsau,2016-11-10T02:38:37.551Z,"Alaska Peninsula",earthquake,,,,,reviewed,aeic,gcmt
2010-12-30T16:56:14.930Z,9.989,126.249,58.5,5,mwc,64,102.5,,1.23,us,usp000hsah,2016-11-10T02:38:36.382Z,"Mindanao, Philippines",earthquake,,8.9,,,reviewed,us,gcmt
2010-12-30T14:36:54.560Z,-10.819,165.376,10,5.6,mwb,193,28.5,,1.2,us,usp000hsaa,2016-11-10T02:38:35.821Z,"Santa Cruz Islands",earthquake,,,,,reviewed,us,us
2010-12-30T12:02:41.800Z,51.626,177.378,56.8,5.5,mwc,350,46,,0.98,us,usp000hsa4,2016-11-10T02:38:35.279Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,2.7,,,reviewed,us,gcmt
2010-12-30T09:11:50.220Z,-19.171,167.952,10,5,mwc,92,66.7,,1,us,usp000hs9x,2016-11-10T02:38:33.275Z,"Vanuatu region",earthquake,,,,,reviewed,us,gcmt
2010-12-30T08:56:44.730Z,51.472,16.057,5,5,mb,178,25,,1.32,us,usp000hs9w,2015-03-20T18:55:31.644Z,"Poland",earthquake,,,,52,reviewed,us,us
2010-12-30T07:35:26.660Z,-10.588,164.338,28.6,5.2,mwc,99,62.1,,1.03,us,usp000hs9t,2016-11-10T02:38:32.734Z,"Santa Cruz Islands region",earthquake,,14.7,,,reviewed,us,gcmt
2010-12-30T06:56:33.060Z,53.113,171.428,10,5.3,mwb,323,65.4,,,us,usp000hs9q,2016-11-10T02:38:32.195Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,aeic,us
2010-12-30T06:49:58.080Z,-56.049,-26.711,38.8,5.2,mwc,67,43.2,,0.62,us,usp000hs9n,2016-11-10T02:38:31.667Z,"South Sandwich Islands region",earthquake,,8.8,,,reviewed,us,gcmt
2010-12-29T23:27:02.900Z,-23.166,-179.941,543,5,mb,87,86.8,,1.1,us,usp000hs9e,2014-11-07T01:43:16.445Z,"south of the Fiji Islands",earthquake,,8,,40,reviewed,us,us
2010-12-29T18:30:59.750Z,30.942,86.508,21.9,5.1,mwc,134,35.9,,0.97,us,usp000hs93,2016-11-10T02:38:30.498Z,"western Xizang",earthquake,,5.3,,,reviewed,us,gcmt
