time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2003-12-31T21:57:08.390Z,46.971,154.241,33,5.9,mwb,237,97.6,,1.04,us,usp000cgp4,2016-11-10T00:20:03.227Z,"east of the Kuril Islands",earthquake,,,,,reviewed,us,us
2003-12-31T08:32:09.770Z,-39.151,78.238,10,5.1,mwc,20,79.9,,1.16,us,usp000cgmq,2016-11-10T00:20:02.687Z,"Mid-Indian Ridge",earthquake,,,,,reviewed,us,hrv
2003-12-31T03:44:37.650Z,47.054,154.077,33,5.1,mb,169,135.4,,0.96,us,usp000cgks,2014-11-07T01:20:51.820Z,"Kuril Islands",earthquake,,,,76,reviewed,us,us
2003-12-31T03:04:57.980Z,47.06,154.14,33,5.1,mb,152,136.2,,0.98,us,usp000cgkq,2014-11-07T01:20:51.788Z,"Kuril Islands",earthquake,,,,75,reviewed,us,us
2003-12-30T22:04:37.440Z,47.084,154.202,33,5.1,mwc,313,127.7,,0.86,us,usp000cgk3,2016-11-10T00:19:29.999Z,"Kuril Islands",earthquake,,,,,reviewed,us,hrv
2003-12-30T14:37:46.270Z,47.075,154.002,33,5,mwc,66,136.3,,0.85,us,usp000cgj9,2016-11-10T00:19:29.444Z,"Kuril Islands",earthquake,,,,,reviewed,us,hrv
2003-12-30T09:50:44.250Z,47.053,154.187,33,5.9,mwb,429,97.8,,0.87,us,usp000cghw,2016-11-10T00:19:28.855Z,"Kuril Islands",earthquake,,,,,reviewed,us,us
2003-12-30T07:35:57.420Z,43.045,146.898,48,5.4,mwc,262,115.3,,0.83,us,usp000cghr,2016-11-10T00:19:28.281Z,"Kuril Islands",earthquake,,,,,reviewed,us,hrv
2003-12-29T15:05:19.170Z,4.147,94.706,33,5.1,mwc,95,44,,0.76,us,usp000cgfy,2016-11-10T00:19:06.337Z,"off the west coast of northern Sumatra",earthquake,,,,,reviewed,us,hrv
2003-12-29T11:48:45.800Z,-22.459,169.622,27.1,5.7,mwc,146,97.8,,1.01,us,usp000cgf9,2016-11-10T00:19:05.729Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-29T06:40:27.220Z,-22.089,169.828,10,5.4,mwc,68,76.7,,1.18,us,usp000cgew,2016-11-10T00:19:05.116Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-29T01:30:54.700Z,42.423,144.613,33,6.1,mwc,453,114.6,,1.02,us,usp000cgeb,2016-11-10T00:56:49.185Z,"Hokkaido, Japan region",earthquake,,,,,reviewed,us,hrv
2003-12-29T00:03:06.760Z,-12.932,169.566,33,5.4,mwc,98,105.6,,0.94,us,usp000cge3,2016-11-10T00:19:04.509Z,"Santa Cruz Islands region",earthquake,,,,,reviewed,us,hrv
2003-12-28T23:48:34.460Z,-22.06,169.718,10,5.3,mb,31,115.8,,0.92,us,usp000cge2,2014-11-07T01:20:51.104Z,"southeast of the Loyalty Islands",earthquake,,,,11,reviewed,us,us
2003-12-28T23:47:36.360Z,-21.921,169.886,10,5.5,mwc,79,77.1,,1.25,us,usp000cge1,2016-11-10T00:18:31.117Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-28T19:21:21.560Z,-22.263,169.622,10,5,mb,40,98,,0.96,us,usp000cgde,2014-11-07T01:20:51.029Z,"southeast of the Loyalty Islands",earthquake,,,,19,reviewed,us,us
2003-12-28T13:50:20.030Z,-22.017,169.918,10,5.4,mwc,53,96.4,,1.28,us,usp000cgcq,2016-11-10T00:18:30.516Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-28T12:35:34.780Z,-22.17,169.667,10,5.3,mwc,43,76.1,,1.01,us,usp000cgch,2016-11-10T00:18:29.969Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-28T05:36:54.810Z,0.599,122.35,74.9,5.9,mwb,159,38.3,,1.1,us,usp000cgbp,2016-11-10T00:18:29.386Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,,reviewed,us,us
2003-12-28T05:15:26.570Z,-21.993,170.111,10,5.5,mwc,71,86.1,,1.14,us,usp000cgbn,2016-11-10T00:18:28.813Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-28T04:45:48.370Z,30.015,131.002,31.9,5.2,mwc,58,113.3,,0.94,us,usp000cgbm,2016-11-10T00:18:28.267Z,"Kyushu, Japan",earthquake,,,,,reviewed,us,hrv
2003-12-27T22:55:01.280Z,-21.648,169.766,10,6.3,mwc,140,69.4,,1.16,us,usp000cgag,2016-11-10T00:56:08.725Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-27T22:38:01.880Z,-21.672,169.835,10,6.7,mwb,270,38.8,,1.08,us,usp000cgae,2016-11-10T00:56:08.210Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,us
2003-12-27T19:51:23.250Z,-22.009,169.608,10,5.1,mb,68,76.2,,1.12,us,usp000cg9z,2014-11-07T01:20:50.374Z,"southeast of the Loyalty Islands",earthquake,,,,31,reviewed,us,us
2003-12-27T16:00:59.450Z,-22.015,169.766,10,7.3,mwc,235,46.6,,1.3,us,usp000cg90,2016-11-10T00:56:07.709Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-27T15:23:15.610Z,43.519,-127.347,10,5.3,mwc,204,117.2,,1.07,us,usp000cg8w,2016-11-10T00:18:03.081Z,"off the coast of Oregon",earthquake,,,,,reviewed,us,hrv
2003-12-27T07:27:21.360Z,-21.926,169.362,10,5.3,mwc,44,107.3,,1.1,us,usp000cg7m,2016-11-10T00:18:02.587Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-27T06:35:29.220Z,-3.699,144.231,33,5.4,mwc,77,84.3,,0.79,us,usp000cg6t,2016-11-10T00:18:02.106Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2003-12-27T04:55:25.460Z,-22.107,169.35,10,6.1,mwc,340,38.8,,1.01,us,usp000cg6m,2016-11-10T00:56:07.191Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-26T22:56:13.450Z,-22.171,169.599,10,5.1,mb,80,125,,0.98,us,usp000cg5s,2014-11-07T01:20:49.917Z,"southeast of the Loyalty Islands",earthquake,,,,28,reviewed,us,us
2003-12-26T21:52:43.620Z,-22.161,169.645,10,5.1,mb,70,98.2,,0.97,us,usp000cg5c,2014-11-07T01:20:49.880Z,"southeast of the Loyalty Islands",earthquake,,,,22,reviewed,us,us
2003-12-26T21:44:01.300Z,-22.296,169.537,10,5.1,mb,42,111.1,,1.05,us,usp000cg59,2014-11-07T01:20:49.871Z,"southeast of the Loyalty Islands",earthquake,,,,14,reviewed,us,us
2003-12-26T21:35:39.550Z,42.34,144.283,33,5.1,mb,63,134.1,,0.93,us,usp000cg57,2014-11-07T01:20:49.862Z,"Hokkaido, Japan region",earthquake,,,,20,reviewed,us,us
2003-12-26T21:33:06.500Z,-22.22,169.618,10,5.4,mb,27,111.3,,0.91,us,usp000cg56,2014-11-07T01:20:49.856Z,"southeast of the Loyalty Islands",earthquake,,,,8,reviewed,us,us
2003-12-26T21:26:04.100Z,-22.273,169.314,10,6.8,mwc,322,18.1,,1.22,us,usp000cg55,2016-11-10T00:55:58.443Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-26T21:16:11.480Z,-22.412,169.483,10,5.1,mb,89,102.6,,1.08,us,usp000cg54,2014-11-07T01:20:49.790Z,"southeast of the Loyalty Islands",earthquake,,,,35,reviewed,us,us
2003-12-26T21:08:21.660Z,-22.324,169.505,10,5.7,mwc,42,97.6,,1.26,us,usp000cg53,2016-11-10T00:17:41.589Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-26T20:54:12.130Z,-22.251,169.485,10,5.4,mwc,87,97.7,,1.01,us,usp000cg50,2016-11-10T00:17:41.098Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-26T08:18:32.780Z,-17.421,-178.877,548,5.5,mwc,88,73.9,,1.08,us,usp000cg3h,2016-11-10T00:17:40.616Z,"Fiji region",earthquake,,,,,reviewed,us,hrv
2003-12-26T03:06:13.640Z,28.932,58.325,10,5.1,mb,200,79.6,,1.21,us,usp000cg2p,2014-11-07T01:20:49.575Z,"southeastern Iran",earthquake,,,,70,reviewed,us,us
2003-12-26T01:56:52.440Z,28.995,58.311,10,6.6,mwc,552,44.8,,1.11,us,usp000cg2d,2016-11-10T00:55:57.965Z,"southeastern Iran",earthquake,,,,,reviewed,us,hrv
2003-12-25T23:13:21.510Z,-22.385,169.601,10,5.3,mb,26,116.2,,1.14,us,usp000cg1y,2014-11-07T01:20:49.474Z,"southeast of the Loyalty Islands",earthquake,,,,16,reviewed,us,us
2003-12-25T23:09:43.420Z,-22.305,169.531,10,6,mwb,262,75.5,,1.03,us,usp000cg1w,2016-11-10T00:17:13.770Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,us
2003-12-25T21:25:10.310Z,-22.274,169.57,10,5,mb,55,97.9,,1.06,us,usp000cg1q,2014-11-07T01:20:49.418Z,"southeast of the Loyalty Islands",earthquake,,,,21,reviewed,us,us
2003-12-25T20:42:33.720Z,-22.252,169.488,10,6.5,mwc,480,40.3,,0.96,us,usp000cg1p,2016-11-10T00:55:55.850Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,hrv
2003-12-25T14:21:14.940Z,-34.954,-178.249,34.6,6,mwb,157,47.3,,0.95,us,usp000cg0q,2016-11-10T00:55:55.319Z,"south of the Kermadec Islands",earthquake,,4.8,,,reviewed,us,us
2003-12-25T07:11:11.590Z,8.416,-82.824,33,6.5,mwb,405,48.4,,1.2,us,usp000cfzw,2016-11-10T00:55:54.808Z,"Panama-Costa Rica border region",earthquake,,,,,reviewed,us,us
2003-12-24T16:43:07.060Z,-54.468,-120.576,10,5.2,mwc,18,97.1,,1.14,us,usp000cfyf,2016-11-10T00:16:50.334Z,"southern East Pacific Rise",earthquake,,,,,reviewed,us,hrv
2003-12-24T11:33:04.360Z,-5.801,102.028,10,5.5,mwb,154,56.5,,1.13,us,usp000cfy1,2016-11-10T00:16:49.827Z,"southern Sumatra, Indonesia",earthquake,,,,,reviewed,us,us
2003-12-24T00:59:09.220Z,-23.465,-114.286,10,5.4,mwc,24,154.1,,1.1,us,usp000cfww,2016-11-10T00:16:49.329Z,"Easter Island region",earthquake,,,,,reviewed,us,hrv
2003-12-23T23:54:47.670Z,26.324,125.884,33,5.3,mwc,49,66.8,,1.13,us,usp000cfws,2016-11-10T00:16:23.665Z,"northeast of Taiwan",earthquake,,,,,reviewed,us,hrv
2003-12-23T23:15:27.910Z,26.317,125.775,36.3,5.7,mwc,96,98.9,,1.38,us,usp000cfwp,2016-11-10T00:16:23.142Z,"northeast of Taiwan",earthquake,,6.8,,,reviewed,us,hrv
2003-12-23T23:01:15.020Z,26.292,125.819,33,5.4,mwc,60,45.9,,1.15,us,usp000cfwm,2016-11-10T00:16:22.641Z,"northeast of Taiwan",earthquake,,,,,reviewed,us,hrv
2003-12-23T14:02:04.130Z,40.135,-29.692,10,5.6,mwc,282,60.8,,0.91,us,usp000cfw0,2016-11-10T00:16:22.137Z,"Azores Islands region",earthquake,,,,,reviewed,us,hrv
2003-12-23T13:05:48.480Z,-22.682,-175.241,33,5.1,mb,66,111.5,,0.82,us,usp000cfvu,2014-11-07T01:20:48.123Z,"Tonga region",earthquake,,,,28,reviewed,us,us
2003-12-23T05:58:37.190Z,-0.696,-20.33,10,5.8,mwb,375,35.8,,0.76,us,usp000cfuv,2016-11-10T00:16:21.626Z,"central Mid-Atlantic Ridge",earthquake,,,,,reviewed,us,us
2003-12-23T04:54:50.150Z,5.04,127.409,122.4,5,mb,40,112.2,,0.82,us,usp000cfup,2014-11-07T01:20:47.968Z,"Philippine Islands region",earthquake,,7,,16,reviewed,us,us
2003-12-22T22:13:34.200Z,-45.31,166.83,24,5,mb,24,114.2,,,us,usp000cfts,2014-11-07T01:20:47.906Z,"off the west coast of the South Island of New Zealand",earthquake,,,,1,reviewed,wel,us
2003-12-22T19:35:12.120Z,15.188,-45.144,10,5.1,mb,60,247.6,,0.66,us,usp000cfte,2014-11-07T01:20:47.875Z,"northern Mid-Atlantic Ridge",earthquake,,,,27,reviewed,us,us
2003-12-22T19:15:56.240Z,35.7005,-121.1005,8.382,6.5,mw,65,71,0.04685,0.07,nc,nc21323712,2017-01-04T19:58:46.820Z,"Central California",earthquake,0.16,0.6,,4,reviewed,nc,nc
2003-12-22T19:15:55.900Z,35.7188333,-121.1571667,11.534,6.48,mw,9,258,,0.14,ci,ci9966449,2016-11-10T00:55:42.604Z,"18km NNW of Cambria, CA",earthquake,0.88,9.55,,6,reviewed,ci,ci
2003-12-22T08:47:07.350Z,42.279,144.598,37.5,5.6,mwb,397,114.7,,0.83,us,usp000cfsm,2016-11-10T00:15:56.957Z,"Hokkaido, Japan region",earthquake,,,,,reviewed,us,us
2003-12-22T01:54:39.030Z,-31.824,-69.423,74.5,5.1,mb,30,82.4,,1.01,us,usp000cfs1,2014-11-07T01:20:47.705Z,"San Juan, Argentina",earthquake,,5.6,,1,reviewed,us,us
2003-12-21T07:40:45.830Z,-0.769,-20.601,10,6.6,mwc,324,40.8,,1.05,us,usp000cfqj,2016-11-10T00:55:36.177Z,"central Mid-Atlantic Ridge",earthquake,,,,,reviewed,us,hrv
2003-12-21T06:29:15.530Z,-8.769,158.515,41.5,5.4,mwb,160,45.5,,0.92,us,usp000cfqd,2016-11-10T00:15:26.592Z,"Solomon Islands",earthquake,,,,,reviewed,us,us
2003-12-20T22:08:28.990Z,9.206,125.768,10,5.4,mb,20,120.6,,1.41,us,usp000cfpm,2014-11-07T01:20:47.386Z,"Mindanao, Philippines",earthquake,,,,2,reviewed,us,us
2003-12-20T21:29:30.500Z,-6.04,151.284,38.7,5.2,mb,47,128.1,,0.83,us,usp000cfph,2014-11-07T01:20:47.377Z,"New Britain region, Papua New Guinea",earthquake,,,,19,reviewed,us,us
2003-12-19T22:57:51.350Z,-3.77,-102.635,10,5.6,mwc,124,120.9,,1.08,us,usp000cfm2,2016-11-10T00:14:25.364Z,"central East Pacific Rise",earthquake,,,,,reviewed,us,hrv
2003-12-19T22:23:04.970Z,-2.067,138.968,33,5.3,mwc,52,64,,0.88,us,usp000cfkz,2016-11-10T00:14:24.787Z,"Papua, Indonesia",earthquake,,,,,reviewed,us,hrv
2003-12-19T14:12:17.910Z,-16.703,172.349,33,5.4,mwc,97,109.5,,0.87,us,usp000cfjs,2016-11-10T00:14:24.191Z,"Vanuatu region",earthquake,,,,,reviewed,us,hrv
2003-12-19T13:05:30.980Z,13.947,124.53,38.6,5.5,mwc,121,112.8,,1.02,us,usp000cfjn,2016-11-10T00:14:23.606Z,"Catanduanes, Philippines",earthquake,,5.2,,,reviewed,us,hrv
2003-12-19T13:03:43.620Z,-5.559,102.81,33,5.4,mwb,137,40.1,,0.96,us,usp000cfjm,2016-11-10T00:14:22.978Z,"southern Sumatra, Indonesia",earthquake,,,,,reviewed,us,us
2003-12-19T05:32:52.000Z,48.85,-129.19,10,5.4,mwc,177,124.4,,,us,usp000cfhy,2016-11-10T00:14:22.391Z,"Vancouver Island, Canada region",earthquake,,,,,reviewed,pgc,hrv
2003-12-19T00:11:58.230Z,19.852,95.698,10,5.2,mwb,395,28.7,,0.79,us,usp000cfh9,2016-11-10T00:14:21.848Z,"Myanmar",earthquake,,,,,reviewed,us,us
2003-12-18T21:46:02.380Z,-7.17,129.727,29.9,5.2,mwc,125,54.8,,0.7,us,usp000cfh5,2016-11-10T00:13:55.364Z,"Kepulauan Babar, Indonesia",earthquake,,1.8,,,reviewed,us,hrv
2003-12-18T21:26:36.680Z,43.008,146.387,33,5,mb,184,134.1,,0.76,us,usp000cfh3,2014-11-07T01:20:46.710Z,"Kuril Islands",earthquake,,,,88,reviewed,us,us
2003-12-18T05:41:57.610Z,-6.347,151.384,53.6,5.9,mwc,237,65.9,,1.11,us,usp000cffv,2016-11-10T00:13:54.683Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2003-12-17T16:27:19.910Z,22.501,121.474,10,5.4,mwc,143,83.6,,0.82,us,usp000cff0,2016-11-10T00:13:21.928Z,"Taiwan region",earthquake,,,,,reviewed,us,hrv
2003-12-17T04:21:05.260Z,-58.305,-139.754,10,5.2,mwc,39,50.2,,1.02,us,usp000cfdx,2016-11-10T00:13:21.355Z,"Pacific-Antarctic Ridge",earthquake,,,,,reviewed,us,hrv
2003-12-16T23:00:31.930Z,51.717,-173.371,33,5,mwc,87,91.5,,0.82,us,usp000cfdd,2016-11-10T00:12:54.177Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,hrv
2003-12-16T20:08:18.720Z,-18.905,-177.342,381.6,5.7,mwc,184,46.2,,0.85,us,usp000cfd3,2016-11-10T00:12:53.666Z,"Fiji region",earthquake,,,,,reviewed,us,hrv
2003-12-15T22:57:22.670Z,28.305,54.148,10,5.1,mwc,179,46.9,,1.11,us,usp000cfbr,2016-11-10T00:12:36.138Z,"southern Iran",earthquake,,,,,reviewed,us,hrv
2003-12-14T14:37:37.990Z,-55.443,-1.835,10,5.4,mwc,44,79.8,,1.37,us,usp000cf8u,2016-11-10T00:12:07.385Z,"Bouvet Island region",earthquake,,,,,reviewed,us,hrv
2003-12-14T12:34:05.560Z,-15.103,-173.849,33,5.2,mwc,63,118.6,,0.55,us,usp000cf8g,2016-11-10T00:12:06.888Z,"Tonga",earthquake,,,,,reviewed,us,hrv
2003-12-14T11:22:57.520Z,-3.734,126.272,33,5.2,mwc,55,68.3,,1.18,us,usp000cf8e,2016-11-10T00:12:06.397Z,"Buru, Indonesia",earthquake,,,,,reviewed,us,hrv
2003-12-13T12:21:08.500Z,-21.642,-179.349,609.9,5.4,mwc,81,72.4,,0.82,us,usp000cf5y,2016-11-10T00:11:38.218Z,"Fiji region",earthquake,,,,,reviewed,us,hrv
2003-12-12T13:39:48.790Z,37.626,94.588,10,5.1,mb,142,31.5,,0.88,us,usp000cf40,2014-11-07T01:20:44.684Z,"northern Qinghai, China",earthquake,,,,74,reviewed,us,us
2003-12-12T08:07:30.790Z,-0.11,123.991,93.2,5.2,mwc,96,59.5,,1.21,us,usp000cf3p,2016-11-10T00:11:10.823Z,"Sulawesi, Indonesia",earthquake,,,,,reviewed,us,hrv
2003-12-12T07:38:55.860Z,-5.485,154.126,164.8,5.3,mwc,71,83.1,,0.86,us,usp000cf3j,2016-11-10T00:11:10.316Z,"Bougainville region, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
