time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-12-31T21:17:04.370Z,-17.6985,-178.7652,575.16,5,mb,,69,3.033,0.66,us,usc000tb0n,2015-03-17T02:38:30.040Z,"242km SE of Lambasa, Fiji",earthquake,10.4,6.2,0.049,138,reviewed,us,us
2014-12-31T19:47:36.010Z,-10.0274,33.8632,14.93,5.1,mb,,45,7.608,0.89,us,usc000tb03,2015-03-17T02:38:29.040Z,"12km SW of Karonga, Malawi",earthquake,11.1,3.5,0.072,64,reviewed,us,us
2014-12-31T09:26:22.450Z,13.7483,120.6673,110,5.5,mwb,,30,8.78,0.96,us,usc000taxu,2016-11-10T21:45:56.603Z,"10km SSE of Calatagan, Philippines",earthquake,8.3,1.9,0.05,39,reviewed,us,us
2014-12-31T07:54:36.890Z,24.6707,122.5575,103.89,5.2,mb,,36,0.46,1.17,us,usc000taxi,2015-03-18T19:05:29.080Z,"50km WNW of Yonakuni, Japan",earthquake,7.6,4.6,0.043,194,reviewed,us,us
2014-12-31T02:47:31.700Z,-25.4948,178.2221,608.91,5.1,mb,,56,5.065,0.88,us,usc000tawl,2015-03-17T02:38:20.040Z,"South of the Fiji Islands",earthquake,10.2,6.4,0.043,196,reviewed,us,us
2014-12-31T01:37:33.930Z,-4.4378,144.002,123,5.8,mww,,14,3.805,1.12,us,usc000tawd,2016-11-10T21:45:56.063Z,"42km S of Angoram, Papua New Guinea",earthquake,7.1,1.8,,,reviewed,us,us
2014-12-31T00:21:48.900Z,13.7874,146.2435,59.9,5.1,mb,,54,1.351,0.87,us,usc000taw1,2015-03-17T02:38:18.040Z,"119km ESE of Rota, Northern Mariana Islands",earthquake,7.5,5.8,0.049,138,reviewed,us,us
2014-12-31T00:06:09.940Z,-20.3096,-178.5461,605.82,5.4,mb,,29,4.106,0.87,us,usc000tavz,2015-03-17T02:38:18.040Z,"40km NNE of Ndoi Island, Fiji",earthquake,9.4,2.2,0.03,400,reviewed,us,us
2014-12-30T21:17:23.920Z,-20.3263,-178.5639,599.28,6,mww,,25,4.103,0.73,us,usc000tauh,2016-11-10T21:45:55.530Z,"38km NNE of Ndoi Island, Fiji",earthquake,9.3,3.6,,,reviewed,us,us
2014-12-30T19:09:08.160Z,9.8183,126.2791,65.83,5,mb,,41,2.817,1.21,us,usc000tats,2015-03-17T02:38:14.040Z,"13km ENE of General Luna, Philippines",earthquake,8.3,5,0.048,137,reviewed,us,us
2014-12-30T18:42:48.850Z,-56.453,147.1763,13.01,5.1,mb,,46,6.977,0.95,us,usc000tatn,2015-03-17T02:38:14.040Z,"West of Macquarie Island",earthquake,10.3,1.4,0.074,60,reviewed,us,us
2014-12-30T13:13:36.330Z,9.8986,126.2261,49.25,5,mb,,67,2.882,0.73,us,usc000tasc,2015-03-17T02:38:08.040Z,"14km ENE of Pilar, Philippines",earthquake,8.9,5.2,0.056,102,reviewed,us,us
2014-12-30T11:03:36.930Z,-56.8845,-150.6289,10,5.2,mb,,40,26.298,0.78,us,usc000tas3,2015-03-17T02:38:06.040Z,"Pacific-Antarctic Ridge",earthquake,12.5,1.7,0.073,63,reviewed,us,us
2014-12-30T04:19:33.400Z,28.44,51.84,28,5.3,mb,,,,0.57,us,usc000tarf,2015-03-17T02:38:03.040Z,"84km WSW of Firuzabad, Iran",earthquake,5.6,1.8,0.049,141,reviewed,thr,us
2014-12-30T00:11:14.010Z,64.628,-17.7035,8.9,5,mb,,45,1.562,0.79,us,usc000taqf,2015-03-17T02:38:01.040Z,"119km S of Akureyri, Iceland",earthquake,7.3,3.8,0.037,253,reviewed,us,us
2014-12-29T23:37:59.070Z,-20.583,-177.654,503.63,5,mb,,33,4.943,0.89,us,usc000taq0,2015-03-17T02:38:01.040Z,"109km E of Ndoi Island, Fiji",earthquake,8.1,5.6,0.034,296,reviewed,us,us
2014-12-29T20:34:11.570Z,41.7007,19.2785,7.01,5,mb,,,,0.85,us,usc000tan7,2015-03-17T02:37:59.040Z,"25km S of Ulcinj, Montenegro",earthquake,4.7,3.5,0.043,191,reviewed,tir,us
2014-12-29T17:41:49.470Z,-56.659,-24.8509,19.03,5.6,mww,,27,7.03,0.81,us,usc000takc,2016-11-10T21:45:54.979Z,"144km E of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.1,2.1,,,reviewed,us,us
2014-12-29T09:29:37.390Z,8.6341,121.5213,8,6.1,mww,,35,4.31,1.17,us,usc000taik,2016-11-10T21:45:54.434Z,"109km SSE of Cagayancillo, Philippines",earthquake,6.9,1.7,,,reviewed,us,us
2014-12-28T20:30:54.210Z,-59.7673,-27.1541,113.7,5.2,mwb,,53,7.489,0.79,us,usc000tag7,2016-11-10T21:45:53.865Z,"89km SSW of Bristol Island, South Sandwich Islands",earthquake,10.3,4.2,0.139,5,reviewed,us,us
2014-12-28T11:49:47.180Z,38.3949,144.3947,35,5.1,mb,,32,2.89,0.63,us,usc000tae3,2015-03-17T02:37:40.040Z,"238km ESE of Kamaishi, Japan",earthquake,7.8,1.9,0.034,317,reviewed,us,us
2014-12-28T05:05:13.890Z,-56.3262,-27.0891,112.99,5,mb,,56,5.745,0.7,us,usc000tacv,2015-03-17T02:37:37.040Z,"42km N of Visokoi Island, ",earthquake,10.4,5.1,0.082,52,reviewed,us,us
2014-12-27T22:31:18.340Z,-0.6519,-20.7392,10,5.3,mb,,41,9.629,0.52,us,usc000tab8,2015-03-17T02:37:34.040Z,"Central Mid-Atlantic Ridge",earthquake,5.6,1.8,0.045,163,reviewed,us,us
2014-12-27T18:53:47.210Z,-17.9261,-179.49,621.76,5.5,mwb,,27,2.347,0.74,us,usc000taa1,2016-11-10T21:45:53.327Z,"205km SE of Lambasa, Fiji",earthquake,6.1,4.1,0.069,20,reviewed,us,us
2014-12-27T12:06:27.570Z,-56.7609,-150.5868,10,5.3,mb,,22,26.422,0.68,us,usc000ta7j,2015-03-17T02:37:27.040Z,"Pacific-Antarctic Ridge",earthquake,11.2,1.7,0.068,75,reviewed,us,us
2014-12-27T07:25:37.970Z,55.4028,-35.149,10,5.3,mb,,37,7.905,0.61,us,usc000ta6m,2015-03-17T02:37:26.040Z,"Reykjanes Ridge",earthquake,4.3,1.8,0.029,424,reviewed,us,us
2014-12-26T23:52:15.160Z,6.5189,-82.3463,10,5.9,mww,,57,3.876,0.9,us,usc000ta5d,2016-11-10T21:45:52.775Z,"177km SSE of Punta de Burica, Panama",earthquake,7.4,1.8,,,reviewed,us,us
2014-12-26T17:55:18.140Z,36.5237,3.0667,14.26,5.1,mb,,34,2.847,0.94,us,usc000ta2u,2015-03-17T02:37:18.040Z,"2km SSW of Bougara, Algeria",earthquake,5,2.5,0.041,210,reviewed,us,us
2014-12-25T22:53:26.840Z,64.5553,-17.2888,7.17,5,mb,,60,1.748,0.76,us,usc000ta03,2015-03-17T02:37:10.040Z,"105km WNW of Hofn, Iceland",earthquake,7.2,3.9,0.03,388,reviewed,us,us
2014-12-25T06:45:42.120Z,24.4153,-109.0765,10,5.1,mb,,104,3.972,1.07,us,usc000t9y1,2015-03-17T02:37:05.040Z,"127km ENE of La Paz, Mexico",earthquake,8.1,1.8,0.031,359,reviewed,us,us
2014-12-25T00:48:25.150Z,-7.3661,155.9646,10,5.3,mb,,23,4.446,0.72,us,usc000t9x8,2015-03-17T02:37:04.040Z,"103km SW of Chirovanga, Solomon Islands",earthquake,7.5,1.7,0.055,113,reviewed,us,us
2014-12-24T23:06:05.470Z,37.2516,141.5576,10,5.2,mwb,,39,0.867,0.68,us,usc000t9wt,2016-11-10T21:45:52.229Z,"55km ESE of Namie, Japan",earthquake,4.6,1.7,0.059,28,reviewed,us,us
2014-12-24T21:34:05.970Z,-6.2229,131.1377,48.96,5.2,mb,,27,1.755,0.72,us,usc000t9w8,2015-03-17T02:37:02.040Z,"188km WSW of Tual, Indonesia",earthquake,5.9,3.3,0.06,95,reviewed,us,us
2014-12-24T08:44:35.120Z,-25.8546,-179.8365,468.9,5,mb,,74,3.778,1.09,us,usc000t9p1,2015-03-17T02:36:55.040Z,"South of the Fiji Islands",earthquake,10.8,6.3,0.076,55,reviewed,us,us
2014-12-24T06:02:05.300Z,-4.0512,134.9229,10,5.3,mb,,21,2.896,1.32,us,usc000t9na,2015-03-17T02:36:53.040Z,"98km SW of Nabire, Indonesia",earthquake,6.7,1.7,0.057,105,reviewed,us,us
2014-12-24T02:36:04.720Z,-56.659,147.3829,10,5.1,mb,,69,6.909,1.4,us,usc000t9m1,2015-03-17T02:36:50.040Z,"West of Macquarie Island",earthquake,13.2,1.8,0.121,22,reviewed,us,us
2014-12-24T02:01:37.030Z,15.6979,144.97,49.73,5,mb,,80,0.923,0.88,us,usc000t9lq,2015-03-17T02:36:50.040Z,"96km NW of Northern Islands Municipality - Mayor's Office, Northern Mariana Islands",earthquake,8,5.6,0.061,100,reviewed,us,us
2014-12-24T01:58:01.740Z,-56.3945,147.336,4,5.9,mwb,,43,6.878,0.93,us,usc000t9lm,2016-11-10T21:45:51.699Z,"West of Macquarie Island",earthquake,9.6,1.6,0.054,33,reviewed,us,us
2014-12-24T01:19:38.840Z,-56.3004,147.2567,10,5.5,mwb,,49,6.904,1.05,us,usc000t9l4,2016-11-10T21:45:51.125Z,"West of Macquarie Island",earthquake,10.1,1.7,0.058,29,reviewed,us,us
2014-12-24T00:29:58.210Z,-56.8054,-150.5681,10,5.1,mb,,60,26.384,1.04,us,usc000td83,2015-03-17T02:36:49.040Z,"Pacific-Antarctic Ridge",earthquake,11.6,1.5,0.112,28,reviewed,us,us
2014-12-23T21:19:51.430Z,-6.7306,155.0899,35,5.1,mb,,33,5.511,0.68,us,usc000t9ir,2015-03-06T02:59:13.040Z,"63km SW of Panguna, Papua New Guinea",earthquake,8.7,1.9,0.06,91,reviewed,us,us
2014-12-23T20:03:57.250Z,-21.9707,170.7183,102.46,5,mb,,95,3.967,0.81,us,usc000t9hs,2015-03-06T02:59:12.040Z,"145km WNW of Ile Hunter, New Caledonia",earthquake,9.2,6.4,0.093,39,reviewed,us,us
2014-12-22T22:39:39.660Z,-7.3565,155.8327,69.45,5.1,mb,,48,4.566,0.91,us,usc000td5m,2015-03-06T02:59:11.040Z,"112km SW of Chirovanga, Solomon Islands",earthquake,9.3,5.9,0.09,41,reviewed,us,us
2014-12-22T22:38:57.220Z,-7.362,155.8748,57.5,5.1,mb,,33,4.526,1.01,us,usc000t99p,2015-03-06T02:59:11.040Z,"109km SW of Chirovanga, Solomon Islands",earthquake,8.5,4.3,0.073,62,reviewed,us,us
2014-12-22T22:35:48.670Z,-7.3725,155.8878,59.52,5.1,mb,,20,4.51,0.99,us,usc000t99k,2015-03-06T02:59:11.040Z,"109km SW of Chirovanga, Solomon Islands",earthquake,2.5,5,0.057,105,reviewed,us,us
2014-12-22T13:00:13.580Z,-7.0867,129.1033,180.65,5,mb,,29,2.351,0.96,us,usc000t93d,2015-03-06T02:59:10.040Z,"262km WNW of Saumlaki, Indonesia",earthquake,6.8,3.8,0.06,91,reviewed,us,us
2014-12-22T07:19:41.230Z,-54.1054,-146.0942,14,5.8,mww,,25,28.439,0.79,us,usc000t91m,2016-11-10T21:45:50.572Z,"Pacific-Antarctic Ridge",earthquake,10.2,1.6,,,reviewed,us,us
2014-12-21T21:13:52.790Z,19.2029,145.7722,135.82,5,mb,,26,3.949,0.42,us,usc000t8yw,2015-03-06T02:59:08.040Z,"49km NNE of Agrihan, Northern Mariana Islands",earthquake,10,5.6,0.041,220,reviewed,us,us
2014-12-21T14:18:41.350Z,2.1241,126.6173,53.14,5.2,mb,,40,1.538,0.91,us,usc000t8wi,2015-03-06T02:59:07.040Z,"160km WNW of Tobelo, Indonesia",earthquake,6.6,4.8,0.053,130,reviewed,us,us
2014-12-21T13:40:41.640Z,2.0551,126.5767,48.53,5.2,mb,,20,1.499,0.68,us,usc000t8wc,2015-03-06T02:59:07.040Z,"163km WNW of Tobelo, Indonesia",earthquake,5.8,4.5,0.044,181,reviewed,us,us
2014-12-21T13:29:57.120Z,2.0397,126.6015,56.88,5.2,mb,,29,1.473,0.74,us,usc000t8wa,2015-03-06T02:59:07.040Z,"160km WNW of Tobelo, Indonesia",earthquake,6.4,4.4,0.043,188,reviewed,us,us
2014-12-21T11:34:13.570Z,2.0892,126.6483,41,6.3,mww,,19,1.492,0.98,us,usc000t8vq,2016-11-10T21:45:50.030Z,"156km WNW of Tobelo, Indonesia",earthquake,6.1,1.8,,,reviewed,us,us
2014-12-21T10:00:09.080Z,11.5807,125.9825,10,5.2,mb,,35,9.759,0.94,us,usc000t8vd,2015-03-06T02:59:07.040Z,"48km NE of Hernani, Philippines",earthquake,9.6,1.8,0.059,101,reviewed,us,us
2014-12-21T09:40:47.000Z,50.79,-130.52,10,5.2,mwr,,,,1.11,us,usc000t8vb,2015-03-06T02:59:07.040Z,"219km W of Port Hardy, Canada",earthquake,3.8,1.9,,,reviewed,pgc,pgc
2014-12-21T05:39:36.760Z,30.9075,142.0141,29.3,5.1,mb,,103,2.887,0.75,us,usc000t8uc,2015-03-06T02:59:07.040Z,"Izu Islands, Japan region",earthquake,7.7,4.5,0.055,116,reviewed,us,us
2014-12-21T05:37:39.090Z,24.2001,94.6939,99.66,5.1,mb,,24,5.732,0.61,us,usc000t8ua,2015-03-06T02:59:07.040Z,"68km NNE of Mawlaik, Burma",earthquake,8.3,4.9,0.055,112,reviewed,us,us
2014-12-21T02:57:38.130Z,50.959,-130.194,10,5.2,mwr,,,,0.75,us,usc000t8tf,2015-03-06T02:59:06.040Z,"196km SW of Bella Bella, Canada",earthquake,5,1.9,,,reviewed,pgc,pgc
2014-12-21T00:25:20.500Z,11.4518,125.9397,12,5.4,mwb,,27,9.645,0.62,us,usc000t8sw,2016-11-10T21:45:49.394Z,"37km ENE of Hernani, Philippines",earthquake,8.3,1.7,0.05,39,reviewed,us,us
2014-12-20T18:43:01.240Z,-6.1283,102.1848,12.66,5,mb,,54,1.916,0.75,us,usc000t8qk,2015-03-06T02:59:06.040Z,"212km SW of Kuripan, Indonesia",earthquake,6.8,3.3,0.067,76,reviewed,us,us
2014-12-20T09:29:57.490Z,37.4017,141.5534,31.31,5.9,mww,,19,0.765,0.76,us,usc000t8p4,2016-11-10T21:45:48.841Z,"49km E of Namie, Japan",earthquake,5,2.7,,,reviewed,us,us
2014-12-19T19:49:30.080Z,16.1951,-61.8091,118.07,5.6,mww,,30,1.586,0.72,us,usc000t8gv,2016-11-10T21:45:48.305Z,"4km SSW of Pointe-Noire, Guadeloupe",earthquake,6.6,3.5,,,reviewed,us,us
2014-12-19T14:41:46.490Z,6.9475,94.7191,35,5.3,mb,,53,2.797,1.28,us,usc000t8a1,2015-03-06T02:59:03.040Z,"134km NNW of Sabang, Indonesia",earthquake,6.5,1.7,0.073,65,reviewed,us,us
2014-12-19T12:51:20.990Z,-38.3685,178.0517,34.62,5.1,mb,,137,0.748,0.89,us,usc000t899,2015-03-06T02:59:03.040Z,"31km N of Gisborne, New Zealand",earthquake,7.9,4.4,0.091,39,reviewed,us,us
2014-12-19T04:47:40.250Z,42.7025,145.5103,28.21,5.3,mwb,,41,1.874,0.52,us,usc000t85p,2016-11-10T21:45:47.752Z,"69km S of Nemuro, Japan",earthquake,7.3,3.2,0.073,18,reviewed,us,us
2014-12-19T02:22:39.030Z,-56.8512,-150.3537,10,5.1,mb,,57,26.384,1.09,us,usc000t84i,2015-03-06T02:59:02.040Z,"Pacific-Antarctic Ridge",earthquake,13.8,1.8,0.102,41,reviewed,us,us
2014-12-18T20:10:53.410Z,-56.6279,-25.3698,10,5.5,mww,,33,6.745,1.09,us,usc000t7za,2016-11-10T21:45:47.146Z,"112km E of Visokoi Island, ",earthquake,10.3,1.7,,,reviewed,us,us
2014-12-18T15:32:12.950Z,27.7395,86.3702,33.6,5,mb,,40,4.612,0.84,us,usc000t7wj,2015-04-25T11:47:01.578Z,"29km SSE of Zuobude, China",earthquake,7.2,4.3,0.054,110,reviewed,us,us
2014-12-18T07:47:45.600Z,-19.5866,-175.4852,197.74,5.2,mb,,87,5.272,1.47,us,usc000t7tt,2015-03-06T02:59:00.040Z,"121km W of Pangai, Tonga",earthquake,9.2,5.5,0.073,64,reviewed,us,us
2014-12-17T15:24:31.020Z,2.7185,95.7664,27.79,5.3,mb,,59,2.289,0.96,us,usc000t7nh,2015-03-06T02:58:59.040Z,"73km WNW of Sinabang, Indonesia",earthquake,8.5,4.1,0.065,84,reviewed,us,us
2014-12-17T13:58:50.390Z,64.5909,-17.7629,8.17,5.3,mww,,44,1.541,0.77,us,usc000t7n7,2016-11-10T21:45:46.580Z,"122km S of Akureyri, Iceland",earthquake,7.5,3.9,,,reviewed,us,us
2014-12-17T13:05:18.190Z,-7.2726,155.001,10,5.1,mb,,50,4.164,0.76,us,usc000t7my,2015-03-06T02:58:59.040Z,"118km SSW of Panguna, Papua New Guinea",earthquake,8.5,1.8,0.064,83,reviewed,us,us
2014-12-17T09:46:58.590Z,-5.5232,151.3933,74.73,5.3,mb,,37,1.362,0.79,us,usc000t7ky,2015-03-06T02:58:59.040Z,"138km E of Kimbe, Papua New Guinea",earthquake,7,1.6,0.042,204,reviewed,us,us
2014-12-17T06:10:05.700Z,-3.8295,100.1432,10,5.9,mww,,27,2.854,1.26,us,usc000t7kd,2016-11-10T21:45:46.042Z,"235km W of Bengkulu, Indonesia",earthquake,5.4,1.4,,,reviewed,us,us
2014-12-16T20:27:43.900Z,-4.9141,133.8248,34.01,5.1,mb,,23,2.529,0.66,us,usc000t7g1,2015-03-04T21:55:07.040Z,"103km NNW of Dobo, Indonesia",earthquake,6.4,4,0.065,81,reviewed,us,us
2014-12-16T17:06:41.170Z,15.9963,120.0729,56.95,5,mb,,38,6.851,0.78,us,usc000t7e2,2015-03-04T21:55:06.040Z,"7km SSW of Tobuan, Philippines",earthquake,8.6,6.6,0.059,95,reviewed,us,us
2014-12-16T11:36:34.050Z,-10.9018,165.9684,55.55,5.2,mb,,30,4.675,0.67,us,usc000t79z,2015-03-04T21:55:06.040Z,"25km SE of Lata, Solomon Islands",earthquake,8.4,4.4,0.041,219,reviewed,us,us
2014-12-16T10:45:24.490Z,-56.7439,-150.4989,0,5.3,mwc,,29,26.455,0.78,us,usc000t79s,2016-11-10T21:45:45.501Z,"Pacific-Antarctic Ridge",earthquake,11.6,1.7,,,reviewed,us,gcmt
2014-12-16T10:12:51.080Z,31.1098,141.7797,10,5.1,mb,,26,2.604,1.04,us,usc000t79i,2015-03-04T21:55:06.040Z,"287km SE of Hachijo-jima, Japan",earthquake,2.7,1.8,0.048,161,reviewed,us,us
2014-12-15T09:26:54.210Z,64.6066,-17.1993,10,5.4,mb,,40,1.78,1.09,us,usc000t6v8,2015-03-04T21:55:04.040Z,"103km WNW of Hofn, Iceland",earthquake,7.4,1.8,0.027,485,reviewed,us,us
