time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-12-31T22:00:29.350Z,13.698,-90.798,65.7,5,mwc,160,89.6,,1.02,us,usp000fvrb,2016-11-10T01:50:15.024Z,"offshore Guatemala",earthquake,,5.5,,,reviewed,us,gcmt
2007-12-31T18:23:36.490Z,41.113,71.944,17.2,5,mwc,170,47.8,,0.87,us,usp000fvr3,2016-11-10T01:50:14.501Z,"eastern Uzbekistan",earthquake,,,,,reviewed,us,gcmt
2007-12-31T10:59:03.170Z,-14.795,-75.49,32.3,5,mb,72,107.1,,0.66,us,usp000fvqh,2014-11-07T01:34:31.446Z,"near the coast of central Peru",earthquake,,,,29,reviewed,us,us
2007-12-31T10:39:44.070Z,-14.79,-75.429,27.7,5.2,mwc,117,90.8,,0.9,us,usp000fvqd,2016-11-10T01:50:14.004Z,"near the coast of central Peru",earthquake,,,,,reviewed,us,gcmt
2007-12-30T09:55:34.480Z,36.408,84.534,40,5,mwc,40,90,,1.07,us,usp000fvn7,2016-11-10T01:50:13.501Z,"southern Xinjiang, China",earthquake,,7.6,,,reviewed,us,gcmt
2007-12-30T06:24:01.190Z,-19.454,-173.847,29.8,5.7,mwc,145,66.6,,0.88,us,usp000fvmz,2016-11-10T01:50:12.998Z,"Tonga",earthquake,,,,,reviewed,us,gcmt
2007-12-29T23:06:11.060Z,52.373,-168.444,29.1,5.1,mb,278,136.5,,0.88,us,usp000fvkx,2015-05-13T18:53:53.000Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,5.4,,133,reviewed,us,us
2007-12-29T22:58:02.210Z,52.21,-168.149,15.8,5.9,mwc,478,105.1,,,us,usp000fvkw,2016-11-10T01:50:12.508Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,aeic,gcmt
2007-12-29T20:55:20.970Z,-19.881,-173.74,10,5.1,mwc,105,90.4,,1,us,usp000fvkk,2016-11-10T01:50:12.018Z,"Tonga",earthquake,,,,,reviewed,us,gcmt
2007-12-28T21:59:42.150Z,-19.387,-173.991,35,5.6,mwc,78,76.4,,1.06,us,usp000fvhp,2016-11-10T01:50:11.523Z,"Tonga",earthquake,,,,,reviewed,us,gcmt
2007-12-28T19:22:49.340Z,29.972,142.215,4.9,5.1,mwc,104,65.3,,0.89,us,usp000fvh9,2016-11-10T01:50:11.035Z,"Izu Islands, Japan region",earthquake,,17.9,,,reviewed,us,gcmt
2007-12-28T18:03:37.900Z,-38.78,176.3,80,5,mb,117,55.8,,,us,usp000fvh7,2014-11-07T01:34:30.763Z,"North Island of New Zealand",earthquake,,,,20,reviewed,wel,us
2007-12-28T09:49:41.310Z,-41.081,-91.089,10,5,mwc,19,143.8,,1.27,us,usp000fvgd,2016-11-10T01:50:10.511Z,"southeast of Easter Island",earthquake,,,,,reviewed,us,gcmt
