time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-31T23:42:59.690Z,-26.547,-107.261,10,5.4,mwc,80,,,0.84,us,usp000a707,2016-11-10T00:20:01.175Z,"Easter Island region",earthquake,,,,,reviewed,us,hrv
2000-12-31T21:56:50.900Z,-38.04,178.8,33,5.3,mwc,58,,,,us,usp000a704,2016-11-10T00:20:00.681Z,"off the east coast of the North Island of New Zealand",earthquake,,,,,reviewed,wel,hrv
2000-12-31T07:51:46.010Z,8.27,127.199,47,5.3,mwc,41,,,0.91,us,usp000a6zh,2016-11-10T00:20:00.191Z,"Philippine Islands region",earthquake,,,,,reviewed,us,hrv
2000-12-31T03:23:01.250Z,-29.48,-177.896,73,5,mb,22,,,1.22,us,usp000a6z3,2014-11-07T01:11:47.848Z,"Kermadec Islands, New Zealand",earthquake,,9,,3,reviewed,us,us
2000-12-31T01:45:03.240Z,81.532,120.279,27.3,5.1,mwc,152,,,1.09,us,usp000a6yx,2016-11-10T00:19:59.698Z,"east of Severnaya Zemlya",earthquake,,,,,reviewed,us,hrv
2000-12-30T19:42:52.710Z,24.317,122.974,55.6,5.1,mb,96,,,1,us,usp000a6yd,2014-11-07T01:11:47.523Z,"Taiwan region",earthquake,,,,37,reviewed,us,us
2000-12-30T10:44:13.350Z,-6.967,129.69,133.1,5.2,mwc,76,,,0.8,us,usp000a6xk,2016-11-10T00:19:27.134Z,"Banda Sea",earthquake,,3.8,,,reviewed,us,hrv
2000-12-30T07:42:46.700Z,-12.472,166.934,220.7,5.5,mwc,164,,,0.98,us,usp000a6xe,2016-11-10T00:19:26.581Z,"Santa Cruz Islands",earthquake,,,,,reviewed,us,hrv
2000-12-29T23:33:53.070Z,-22.253,-179.672,584,5.4,mwc,162,,,0.8,us,usp000a6x2,2016-11-10T00:19:01.368Z,"south of the Fiji Islands",earthquake,,,,,reviewed,us,hrv
2000-12-29T13:47:38.670Z,1.739,126.444,33,5.1,mwc,48,,,0.98,us,usp000a6w5,2016-11-10T00:19:00.693Z,"Molucca Sea",earthquake,,,,,reviewed,us,hrv
2000-12-29T10:43:00.140Z,-4.243,152.742,33,5.3,mwc,98,,,0.93,us,usp000a6vw,2016-11-10T00:18:59.977Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
