time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-12-31T21:23:42.860Z,-8.823,-75.872,32.5,5,mb,125,70,,0.72,us,usp000gry2,2015-03-24T00:57:44.647Z,"central Peru",earthquake,,8.7,,65,reviewed,us,us
2008-12-31T14:02:27.440Z,-25.378,-177.612,155.2,5.3,mwb,233,75.6,,0.73,us,usp000grx9,2016-11-10T02:06:02.892Z,"south of the Fiji Islands",earthquake,,,,,reviewed,us,us
2008-12-31T11:39:53.460Z,4.918,127.437,39,5.4,mwb,134,51.2,,0.84,us,usp000grx5,2016-11-10T02:06:02.354Z,"Kepulauan Talaud, Indonesia",earthquake,,,,,reviewed,us,us
2008-12-30T20:32:38.020Z,-4.366,101.191,10,5.1,mb,71,103.9,,1.26,us,usp000grvw,2014-11-07T01:38:04.737Z,"southern Sumatra, Indonesia",earthquake,,,,35,reviewed,us,us
2008-12-30T19:49:52.610Z,-4.297,101.217,20,5.9,mwb,214,27.7,,1.1,us,usp000grvs,2016-11-09T07:41:03.513Z,"southern Sumatra, Indonesia",earthquake,,,,,reviewed,us,us
2008-12-30T18:09:24.770Z,-10.248,118.459,49.3,5.2,mb,78,87.8,,1,us,usp000grvk,2014-11-07T01:38:04.682Z,"south of Sumbawa, Indonesia",earthquake,,9.4,,39,reviewed,us,us
2008-12-30T17:43:51.200Z,-10.619,161.162,57.7,5.4,mwc,102,53.4,,0.93,us,usp000grvf,2016-11-09T07:41:02.550Z,"Solomon Islands",earthquake,,9,,,reviewed,us,gcmt
2008-12-30T03:20:56.570Z,5.419,125.71,141.3,5.1,mwc,123,48.9,,0.98,us,usp000gru5,2016-11-10T02:06:01.858Z,"Mindanao, Philippines",earthquake,,6.4,,,reviewed,us,gcmt
2008-12-29T12:11:45.490Z,-1.191,67.556,10,5.2,mwc,50,64.9,,0.91,us,usp000grsf,2016-11-10T02:06:00.856Z,"Carlsberg Ridge",earthquake,,,,,reviewed,us,gcmt
2008-12-29T06:18:22.620Z,32.275,105.098,10,5,mb,126,51.3,,0.87,us,usp000grs0,2015-03-24T00:57:40.912Z,"Sichuan-Gansu border region, China",earthquake,,,,66,reviewed,us,us
2008-12-29T03:37:41.030Z,36.389,71.075,151,5.8,mwc,329,17.5,,1.01,us,usp000grrm,2016-11-10T02:06:00.358Z,"Hindu Kush region, Afghanistan",earthquake,,,,,reviewed,us,us
2008-12-28T22:58:59.000Z,40.39,25.78,35,5.2,mwc,353,14.4,,,us,usp000grr8,2016-11-10T02:05:59.848Z,"Aegean Sea",earthquake,,,,,reviewed,ath,gcmt
2008-12-28T22:39:45.870Z,48.248,154.283,46.7,5,mwc,219,68.6,,0.68,us,usp000grr7,2016-11-10T02:05:59.303Z,"Kuril Islands",earthquake,,5.6,,,reviewed,us,gcmt
2008-12-28T22:07:29.680Z,-22.371,173.778,48.6,5.2,mwc,36,121.4,,1.04,us,usp000grr6,2016-11-10T02:05:58.820Z,"southeast of the Loyalty Islands",earthquake,,9.8,,,reviewed,us,gcmt
2008-12-28T21:40:16.830Z,48.289,154.292,42.2,5.4,mwc,311,62.2,,0.71,us,usp000grr5,2016-11-10T02:05:58.324Z,"Kuril Islands",earthquake,,4.3,,,reviewed,us,gcmt
2008-12-28T20:25:31.640Z,-11.33,166.459,78.1,5,mb,27,116.3,,0.82,us,usp000grqz,2014-11-07T01:38:03.831Z,"Santa Cruz Islands",earthquake,,,,6,reviewed,us,us
2008-12-28T18:03:38.900Z,48.225,154.384,39.9,5,mb,121,135.7,,0.75,us,usp000grqs,2014-11-07T01:38:03.810Z,"Kuril Islands",earthquake,,4.8,,72,reviewed,us,us
