time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-12-31T23:41:47.360Z,19.1673,120.0807,10.28,5.2,mb,,46,3.75,1.08,us,usc000lv53,2014-02-28T08:44:15.000Z,"92km NW of Davila, Philippines",earthquake,,2.4,0.045,,reviewed,us,us
2013-12-31T21:32:01.650Z,19.1223,120.1797,10,5.2,mb,,31,3.771,1.48,us,usc000lv0r,2014-02-28T08:44:15.000Z,"83km NNW of Davila, Philippines",earthquake,,1.7,0.05,,reviewed,us,us
2013-12-31T20:04:32.400Z,19.0589,120.3057,20.61,5,mb,,98,3.809,0.93,us,usb000m2uh,2014-02-28T08:44:15.000Z,"70km NNW of Davila, Philippines",earthquake,,5,0.079,,reviewed,us,us
2013-12-31T20:01:06.530Z,19.1181,120.2719,10.95,5.7,mww,,21,3.757,0.9,us,usc000luwe,2014-02-28T09:31:00.181Z,"77km NNW of Burgos, Philippines",earthquake,,2.6,,,reviewed,us,us
2013-12-31T13:55:02.640Z,-17.6528,-173.6869,15.38,5,mb,,46,3.84,0.84,us,usb000m2ub,2014-02-28T08:44:15.000Z,"114km NNE of Neiafu, Tonga",earthquake,,3.2,0.103,,reviewed,us,us
2013-12-31T08:36:30.860Z,-15.6555,-172.934,31.82,5.1,mb,,40,2.065,0.75,us,usc000lumu,2014-02-28T08:44:14.000Z,"93km ENE of Hihifo, Tonga",earthquake,,3.9,0.045,,reviewed,us,us
2013-12-31T01:02:59.460Z,36.6768,140.7171,9.99,5.1,mb,,66,2.022,0.89,us,usc000luj7,2015-04-12T05:29:35.631Z,"4km S of Takahagi, Japan",earthquake,,1.7,0.038,,reviewed,us,us
2013-12-30T20:31:02.830Z,19.1552,120.1599,10,5,mb,,48,3.744,0.91,us,usc000lubv,2014-02-28T08:44:14.000Z,"87km NNW of Davila, Philippines",earthquake,,1.8,0.063,,reviewed,us,us
2013-12-30T20:17:59.730Z,19.1308,120.3026,16.49,5.1,mb,,39,3.739,0.82,us,usc000lubf,2014-02-28T08:44:14.000Z,"77km NNW of Burgos, Philippines",earthquake,,3.6,0.054,,reviewed,us,us
2013-12-29T17:49:55.430Z,10.4842,126.9708,36.93,5,mb,,83,3.66,0.99,us,usc000ltrz,2014-02-28T08:44:13.000Z,"110km ENE of San Isidro, Philippines",earthquake,,3.2,0.061,,reviewed,us,us
2013-12-29T17:08:43.000Z,41.369,14.445,10.5,5.1,mwr,,,,1.05,us,usc000ltr4,2016-12-07T13:24:49.267Z,"5km NE of San Potito Sannitico, Italy",earthquake,,3.9,0.05,,reviewed,rom,us
2013-12-29T15:37:38.060Z,1.2996,126.2455,42.94,5.7,mww,,25,1.237,0.86,us,usc000ltqk,2014-02-28T09:26:40.562Z,"119km E of Bitung, Indonesia",earthquake,,2,,,reviewed,us,us
2013-12-29T14:53:24.710Z,1.338,126.2746,35,5.1,mb,,30,1.228,1.18,us,usc000ltq6,2014-02-28T08:44:12.000Z,"122km E of Bitung, Indonesia",earthquake,,1.8,0.056,,reviewed,us,us
2013-12-29T14:29:52.780Z,0.0094,123.3694,155.67,5,mb,,34,1.203,0.99,us,usc000ltpx,2014-02-28T08:44:12.000Z,"44km SSE of Bilungala, Indonesia",earthquake,,4.8,0.069,,reviewed,us,us
2013-12-29T12:49:16.720Z,-5.605,153.9863,24,5.5,mww,,23,7.03,0.98,us,usc000ltnq,2014-02-28T09:34:25.779Z,"164km SE of Taron, Papua New Guinea",earthquake,,1.7,,,reviewed,us,us
2013-12-28T19:31:23.800Z,20.7553,146.6663,11.82,5.6,mwc,,16,4.12,0.58,us,usc000lte5,2014-02-28T09:07:55.074Z,"185km E of Farallon de Pajaros, Northern Mariana Islands",earthquake,,3.1,,,reviewed,us,gcmt
2013-12-28T19:06:16.790Z,-18.2012,-174.3201,95.83,5.9,mww,,16,4.255,0.6,us,usc000ltdn,2014-02-28T09:04:54.948Z,"61km NW of Neiafu, Tonga",earthquake,,3.4,,,reviewed,us,us
2013-12-28T18:59:04.860Z,-1.3673,-15.1711,10.23,5.8,mww,,15,6.571,0.95,us,usc000ltdl,2014-02-28T09:01:20.530Z,"North of Ascension Island",earthquake,,3.2,,,reviewed,us,us
2013-12-28T15:21:04.090Z,36.028,31.31,40.7,5.9,mww,,26,1.34,1.08,us,usc000ltax,2015-01-28T22:04:01.703Z,"77km SSW of Avsallar, Turkey",earthquake,,3.3,,,reviewed,us,us
2013-12-28T15:20:13.940Z,-23.757,-174.7772,10,5,mb,,43,6.151,1.2,us,usc000ltaz,2014-02-28T08:44:10.000Z,"268km S of `Ohonua, Tonga",earthquake,,1.8,0.126,,reviewed,us,us
2013-12-28T10:23:37.230Z,20.7906,146.616,10.02,5.1,mb,,33,4.145,0.74,us,usc000lt90,2014-02-28T08:44:10.000Z,"181km E of Farallon de Pajaros, Northern Mariana Islands",earthquake,,2.4,0.038,,reviewed,us,us
2013-12-28T06:43:37.370Z,-56.4333,-142.5413,10,5.6,mwb,,27,27.48,1.48,us,usc000lt6s,2014-02-28T08:58:19.967Z,"Pacific-Antarctic Ridge",earthquake,,1.7,0.073,,reviewed,us,us
2013-12-27T17:46:03.420Z,27.7975,-18.2868,7.48,5.4,mb,,27,0.297,0.75,us,usc000lst3,2015-01-30T12:34:27.206Z,"28km W of Frontera, Spain",earthquake,,3.3,0.028,,reviewed,us,us
